content,label
"""Spraying chlorine or alcohol on the skin kills viruses in the body""",1
"""Only older adults and young people are at risk""",1
"""Children cannot get COVID-19""",1
"""COVID-19 is just like the flu""",1
"""Everyone with COVID-19 dies""",1
"""Cats and dogs spread coronavirus""",1
"""Face masks always protect against coronavirus""",1
"""Hand dryers kill coronavirus""",1
"""SARS-CoV-2 is just a mutated form of the common cold""",1
"""You have to be with someone for 10 minutes to catch the virus""",1
"""Rinsing the nose with saline protects against coronavirus""",1
"""You can protect yourself by gargling bleach""",1
"""Antibiotics kill coronavirus""",1
"""Thermal scanners can diagnose coronavirus""",1
"""Garlic protects against coronaviruses""",1
"""Parcels from China can spread coronavirus""",1
"""Home remedies can cure and protect against COVID-19""",1
"""You can catch coronavirus from eating Chinese food in the US""",1
"""You can catch coronavirus from urine and feces""",1
"""The virus will die off when temperatures rise in the spring""",1
"""Coronavirus is the deadliest virus known to humans""",1
"""Flu and pneumonia vaccines can protect against COVID-19""",1
"""The virus originated in a laboratory in China""",1
"""The outbreak began because people ate bat soup""",1
"""5G helps SARS-CoV-2 spread""",1
"""Drinking alcohol reduces the risk of infection""",1
"""Injecting or consuming bleach or disinfectant kills the virus""",1
